 ;Максимальная теспература за день, С;Минимальная температура за день, С;Средня влажность, г/м3;Средняя скорость ветра, м/с;;;;;;;;;;;;;;;;;;;;
20.08.2020;31,7;7,4;60,4;5;;;;;;;;;;;;;;;;;;;;
21.08.2020;33,6;27,8;8,1;1,7;;;;;;;;;;;;;;;;;;;;
22.08.2020;17,5;7,6;11,7;8,5;;;;;;;;;;;;;;;;;;;;
23.08.2020;34,6;7,8;29,6;13,6;;;;;;;;;;;;;;;;;;;;
24.08.2020;18,6;6,6;84,5;18,8;;;;;;;;;;;;;;;;;;;;
25.08.2020;31,9;6,2;37,4;16,4;;;;;;;;;;;;;;;;;;;;
26.08.2020;32,6;29;46,1;10,2;;;;;;;;;;;;;;;;;;;;
27.08.2020;20,1;8,1;96,6;11,1;;;;;;;;;;;;;;;;;;;;
28.08.2020;29,8;9,4;82;9,2;;;;;;;;;;;;;;;;;;;;
29.08.2020;29,9;12,9;55,9;14,2;;;;;;;;;;;;;;;;;;;;
30.08.2020;32,2;25,7;40;16,3;;;;;;;;;;;;;;;;;;;;
31.08.2020;18,1;13,8;58,5;17;;;;;;;;;;;;;;;;;;;;
01.09.2020;14,7;0,4;94,6;2,9;;;;;;;;;;;;;;;;;;;;
02.09.2020;14,4;9;82,5;2,1;;;;;;;;;;;;;;;;;;;;
03.09.2020;18,9;1,2;49,4;18;;;;;;;;;;;;;;;;;;;;
04.09.2020;19,3;8,7;82,3;16,4;;;;;;;;;;;;;;;;;;;;
05.09.2020;24,3;13,5;16,7;14,2;;;;;;;;;;;;;;;;;;;;
06.09.2020;20,4;3,2;31,1;7,3;;;;;;;;;;;;;;;;;;;;
07.09.2020;11,7;5,9;46,8;17,8;;;;;;;;;;;;;;;;;;;;
08.09.2020;11,5;1,5;30,1;14,8;;;;;;;;;;;;;;;;;;;;
09.09.2020;14,7;6;52,3;5,6;;;;;;;;;;;;;;;;;;;;
10.09.2020;22,3;19,4;85,2;6;;;;;;;;;;;;;;;;;;;;
11.09.2020;23,4;0,5;78,9;2,5;;;;;;;;;;;;;;;;;;;;
12.09.2020;15,6;8,5;90,4;2,3;;;;;;;;;;;;;;;;;;;;
13.09.2020;22,2;4,7;6,5;9,2;;;;;;;;;;;;;;;;;;;;
14.09.2020;16,4;3,2;21,3;4,6;;;;;;;;;;;;;;;;;;;;
15.09.2020;19,4;10,2;5,9;15,7;;;;;;;;;;;;;;;;;;;;
16.09.2020;23,1;10,2;23,6;14,1;;;;;;;;;;;;;;;;;;;;
17.09.2020;13,3;9,8;70,6;16,1;;;;;;;;;;;;;;;;;;;;
18.09.2020;23,6;11,1;16,9;6,9;;;;;;;;;;;;;;;;;;;;
19.09.2020;20,9;4,7;19,6;13,5;;;;;;;;;;;;;;;;;;;;
20.09.2020;24,1;20,7;40,5;6,8;;;;;;;;;;;;;;;;;;;;
21.09.2020;19,7;12,5;83,3;17,6;;;;;;;;;;;;;;;;;;;;
22.09.2020;15,1;0,6;40,4;9,2;;;;;;;;;;;;;;;;;;;;
23.09.2020;14,2;5,3;60;7,6;;;;;;;;;;;;;;;;;;;;
24.09.2020;24,4;17,2;55,5;17,3;;;;;;;;;;;;;;;;;;;;
25.09.2020;23,6;22;14;18;;;;;;;;;;;;;;;;;;;;
26.09.2020;19,3;13,1;84,2;11,4;;;;;;;;;;;;;;;;;;;;
27.09.2020;22,5;3,4;29,4;9,7;;;;;;;;;;;;;;;;;;;;
28.09.2020;11,5;2,8;11;3,4;;;;;;;;;;;;;;;;;;;;
29.09.2020;23,5;14,5;79,7;13,7;;;;;;;;;;;;;;;;;;;;
30.09.2020;15,2;3,6;69,7;8,6;;;;;;;;;;;;;;;;;;;;
01.10.2020;-9,6;-11,7;29,3;7,3;;;;;;;;;;;;;;;;;;;;
02.10.2020;13,9;-3,9;63,8;3;;;;;;;;;;;;;;;;;;;;
03.10.2020;0,9;-5;59,2;9,5;;;;;;;;;;;;;;;;;;;;
04.10.2020;19,2;14,4;22,1;8,8;;;;;;;;;;;;;;;;;;;;
05.10.2020;19,1;1,6;66,2;12,4;;;;;;;;;;;;;;;;;;;;
06.10.2020;14,4;10,6;81,1;12,5;;;;;;;;;;;;;;;;;;;;
07.10.2020;-1,9;-12,5;39,1;15,1;;;;;;;;;;;;;;;;;;;;
08.10.2020;14,2;3,2;99,7;14,2;;;;;;;;;;;;;;;;;;;;
09.10.2020;-9,1;-12,5;29,2;9,3;;;;;;;;;;;;;;;;;;;;
10.10.2020;9;2,5;73,6;4,1;;;;;;;;;;;;;;;;;;;;
11.10.2020;17,1;-2,5;6,1;18,4;;;;;;;;;;;;;;;;;;;;
12.10.2020;9,5;-0,8;54,6;6,4;;;;;;;;;;;;;;;;;;;;
13.10.2020;-1,4;-10,1;53,7;9;;;;;;;;;;;;;;;;;;;;
14.10.2020;13,5;-12,6;45,5;4,9;;;;;;;;;;;;;;;;;;;;
15.10.2020;-2,9;-10,1;6,3;7,3;;;;;;;;;;;;;;;;;;;;
16.10.2020;18,8;0,2;16,4;5,1;;;;;;;;;;;;;;;;;;;;
17.10.2020;-0,5;-14,4;10,3;6,4;;;;;;;;;;;;;;;;;;;;
18.10.2020;1,5;-4,4;6,7;16;;;;;;;;;;;;;;;;;;;;
19.10.2020;-5,2;-8,1;40,5;18,3;;;;;;;;;;;;;;;;;;;;
20.10.2020;12,1;0,7;14,3;18,3;;;;;;;;;;;;;;;;;;;;
21.10.2020;5,8;-13,3;20,7;9;;;;;;;;;;;;;;;;;;;;
22.10.2020;-4;-11;98;12,7;;;;;;;;;;;;;;;;;;;;
23.10.2020;0,5;-4;75,3;2;;;;;;;;;;;;;;;;;;;;
24.10.2020;2,4;-9,4;99,8;16,6;;;;;;;;;;;;;;;;;;;;
25.10.2020;9,6;-4,6;28,2;9,8;;;;;;;;;;;;;;;;;;;;
26.10.2020;16,1;7;30,9;13,8;;;;;;;;;;;;;;;;;;;;
27.10.2020;7,9;-0,6;72,2;4,7;;;;;;;;;;;;;;;;;;;;
28.10.2020;2;-14,7;59,1;8,9;;;;;;;;;;;;;;;;;;;;
29.10.2020;14,3;12,4;13,8;14,6;;;;;;;;;;;;;;;;;;;;
30.10.2020;15,1;2,5;22,4;4,5;;;;;;;;;;;;;;;;;;;;
31.10.2020;14,5;-12;84,5;11,8;;;;;;;;;;;;;;;;;;;;
01.11.2020;8,9;-9,9;99,7;12;;;;;;;;;;;;;;;;;;;;
02.11.2020;-10,9;-13,5;80,8;10,3;;;;;;;;;;;;;;;;;;;;
03.11.2020;-3,4;-17,2;28,8;17,3;;;;;;;;;;;;;;;;;;;;
04.11.2020;6;-1,7;71,7;4,7;;;;;;;;;;;;;;;;;;;;
05.11.2020;-10,8;-19,8;39;14,8;;;;;;;;;;;;;;;;;;;;
06.11.2020;-5,5;-16,2;77,9;5,7;;;;;;;;;;;;;;;;;;;;
07.11.2020;1,2;-5,6;34,5;12,6;;;;;;;;;;;;;;;;;;;;
08.11.2020;8,9;-19,7;82,9;8,5;;;;;;;;;;;;;;;;;;;;
09.11.2020;9;-10,4;29,1;7;;;;;;;;;;;;;;;;;;;;
10.11.2020;-12,5;-18,1;88,8;8,8;;;;;;;;;;;;;;;;;;;;
11.11.2020;-0,4;-19,6;37,5;10,4;;;;;;;;;;;;;;;;;;;;
12.11.2020;9,1;-0,8;28,5;3,2;;;;;;;;;;;;;;;;;;;;
13.11.2020;8,3;-0,8;71,3;15,8;;;;;;;;;;;;;;;;;;;;
14.11.2020;-12,3;-13,5;19,1;2,1;;;;;;;;;;;;;;;;;;;;
15.11.2020;-9,1;-11,9;56,7;12,3;;;;;;;;;;;;;;;;;;;;
16.11.2020;5,8;-11,5;15,8;12,4;;;;;;;;;;;;;;;;;;;;
17.11.2020;9,1;-5,7;56,7;19,6;;;;;;;;;;;;;;;;;;;;
18.11.2020;-7,9;-9,8;62,4;10,9;;;;;;;;;;;;;;;;;;;;
19.11.2020;-11,8;-12,2;90,8;11,9;;;;;;;;;;;;;;;;;;;;
20.11.2020;4,4;-1,1;67,4;11,5;;;;;;;;;;;;;;;;;;;;
21.11.2020;-14,8;-15,5;56,4;15,7;;;;;;;;;;;;;;;;;;;;
22.11.2020;-3,2;-10,7;68,8;19,2;;;;;;;;;;;;;;;;;;;;
23.11.2020;-3,2;-6,6;80,7;12,7;;;;;;;;;;;;;;;;;;;;
24.11.2020;6,7;-16,6;6;1,1;;;;;;;;;;;;;;;;;;;;
25.11.2020;-11,7;-19,9;51,8;10,7;;;;;;;;;;;;;;;;;;;;
26.11.2020;-11,3;-14,7;98,7;17;;;;;;;;;;;;;;;;;;;;
27.11.2020;-7,9;-17,4;49,4;11,8;;;;;;;;;;;;;;;;;;;;
28.11.2020;-14,2;-15,2;56,3;17,9;;;;;;;;;;;;;;;;;;;;
29.11.2020;9,2;-19;6,1;2,9;;;;;;;;;;;;;;;;;;;;
30.11.2020;-5,9;-8,2;64,2;10,7;;;;;;;;;;;;;;;;;;;;
01.12.2020;-24,7;-29,7;96;17,9;;;;;;;;;;;;;;;;;;;;
02.12.2020;-13,4;-28,6;21,6;8,3;;;;;;;;;;;;;;;;;;;;
03.12.2020;-13;-22,6;76;5,4;;;;;;;;;;;;;;;;;;;;
04.12.2020;-7;-21,8;63,1;3,7;;;;;;;;;;;;;;;;;;;;
05.12.2020;-21,1;-21,6;67,6;2,5;;;;;;;;;;;;;;;;;;;;
06.12.2020;-7;-26,4;48,1;1,9;;;;;;;;;;;;;;;;;;;;
07.12.2020;-1,5;-9,8;45;16,6;;;;;;;;;;;;;;;;;;;;
08.12.2020;-15,3;-24,2;90,9;14,7;;;;;;;;;;;;;;;;;;;;
09.12.2020;-13,9;-16,1;47,8;15,3;;;;;;;;;;;;;;;;;;;;
10.12.2020;-19,5;-22,2;42;1,5;;;;;;;;;;;;;;;;;;;;
11.12.2020;-9,3;-21,6;92,4;13,4;;;;;;;;;;;;;;;;;;;;
12.12.2020;-23,8;-29;86,8;9,2;;;;;;;;;;;;;;;;;;;;
13.12.2020;-22,3;-27,2;49,7;7,1;;;;;;;;;;;;;;;;;;;;
14.12.2020;-12,9;-23,8;6,7;8,9;;;;;;;;;;;;;;;;;;;;
15.12.2020;-1,8;-6,5;19,6;18,2;;;;;;;;;;;;;;;;;;;;
16.12.2020;-22,7;-26,2;91,4;11,1;;;;;;;;;;;;;;;;;;;;
17.12.2020;-17,3;-21,8;69,8;17,1;;;;;;;;;;;;;;;;;;;;
18.12.2020;-4,8;-17,2;58,5;8,7;;;;;;;;;;;;;;;;;;;;
19.12.2020;-16,5;-16,8;17,5;9,8;;;;;;;;;;;;;;;;;;;;
20.12.2020;-7,5;-26,3;90;3,7;;;;;;;;;;;;;;;;;;;;
21.12.2020;-5,4;-25,4;13,3;6,3;;;;;;;;;;;;;;;;;;;;
22.12.2020;-7,7;-7,9;75;3,3;;;;;;;;;;;;;;;;;;;;
23.12.2020;-1,7;-8;53,5;9,5;;;;;;;;;;;;;;;;;;;;
24.12.2020;-18,6;-23,3;62,1;5,7;;;;;;;;;;;;;;;;;;;;
25.12.2020;-12,5;-14,5;46,9;3,3;;;;;;;;;;;;;;;;;;;;
26.12.2020;-20,2;-27,6;49,7;12,3;;;;;;;;;;;;;;;;;;;;
27.12.2020;-15,8;-21,2;37,1;11,6;;;;;;;;;;;;;;;;;;;;
28.12.2020;-10,5;-13,8;24,4;1,1;;;;;;;;;;;;;;;;;;;;
29.12.2020;-3,6;-25,8;33,8;18,1;;;;;;;;;;;;;;;;;;;;
30.12.2020;-21,9;-25,9;23,7;7,5;;;;;;;;;;;;;;;;;;;;
31.12.2020;-17,7;-20,7;45,6;4,4;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;

